name,website
Rochana Prih Hastuti,none
Adrian Xuan Wei Lim,none
Kenneth Ko Han Chen,https://sg.linkedin.com/in/kenneth-chen-ko-han
Bahrul Ilmi Nasution,https://scholar.google.com/citations?user=inFKBT4AAAAJ&hl=en
Jan Christian Blaise Cruz,https://blaisecruz.com/
Salsabila Zahirah Pranida,none
Fajri Koto,https://fajrikoto.com/
Joel Ruben Antony Moniz,https://scholar.google.ca/citations?hl=en&user=AjpOYxAAAAAJ
Ayushman Singh,https://www.ayushmansingh.com
Robert Wijaya,https://wijayarobert.github.io
Audra Aurora Izzani,none
Thant Thiri Maung,none
John Amadeo Daniswara,https://www.linkedin.com/in/john-amadeo-daniswara-5566b3111/
Supryadi,https://supryzhu.github.io/
Kun Kerdthaisong,none
Mohamed Fazli Imam,https://fazliimam.github.io/
Christian Simon,https://scholar.google.com/citations?user=eZrRbp4AAAAJ&hl=en
Meisyarah Dwiastuti,none
B̦rje F. Karlsson,https://tellarin.com/borje/
Genta Indra Winata,https://gentawinata.com
Mahardika Krisna Ihsani,codefire53.github.io
Jun Kevin,https://www.linkedin.com/in/junkevin06/
Kanyakorn Veerakanjana,none
Lester James V. Miranda,https://ljvmiranda921.github.io
Bin Wang,http://binwang.xyz/
Rifo Ahmad Genadi,none
Rian Adam Rajagede,none
Yeshil Bangera,none
Ming Shan Hee,https://mingshanhee.com
Hitesh Laxmichand Patel,https://www.linkedin.com/in/hitesh-patel-63ba9210a/
Ikhlasul Akmal Hanif,https://www.linkedin.com/in/ikhlasul-akmal-h/
Wan Shen Lim,none
Fenal Ashokbhai  Ilasariya,none
David Anugraha,https://davidanugraha.github.io/
M.Alif Al Hakim,https://malifalhakim.github.io/portfolio-website/
Jostin Jerico Rosal,https://www.linkedin.com/in/jostinjerico/
Amit Agarwal,https://www.linkedin.com/in/amitagarwal6/
William Nixon,https://williamnixon20.github.io/
Lynnette Hui Xian Ng,https://quarbby.github.io
Filbert Aurelian Tjiaranata,https://www.linkedin.com/in/filbert-aurelian/
Peerat Limkonchotiwat,https://mrpeerat.github.io/
Yueqi Song,https://yueqis.github.io/
Tack Hwa Wong,none
Anjela Gail Santos,https://www.linkedin.com/in/anjelagail-santos/
Joseph Marvin Imperial,https://www.josephimperial.com/
Muhammad Rizky Sya'ban,https://www.linkedin.com/in/mrsyaban
Kadek Hendrawan Palgunadi,none
Mohammad Rifqi Farhansyah,https://www.linkedin.com/in/mohammadrifqifarhansyah/
Anab Maulana Barik,none
Muhammad Ravi Shulthan Habibi,https://muhammadravi251001.github.io/
Takdanai Kreangphet,https://www.linkedin.com/in/takdanai-kreangphet
Kevin Pratama,https://www.linkedin.com/in/kevin-pratama/
Michael Anugraha,none
Dan John Velasco,https://danjohnvelasco.github.io/
Phakphum Artkaew,https://phakphumadev.github.io
Isaiah Flores,https://www.linkedin.com/in/isaiahflores00/
Tim Santos,https://internetoftim.xyz
Haochen Li,https://alex-haochenli.github.io/
Frederikus Hudi,none
Tirana Noor Fatyanosa,https://www.fatyanosa.com/
Adisai Na-Thalang,https://www.linkedin.com/in/adisai-n-60b48a58
Teddy Ferdinan,https://scholar.google.com/citations?user=wwu2dpoAAAAJ&hl=en
Can Udomcharoenchaikit,none
Samuel Cahyawijaya,https://samuelcahyawijaya.github.io/
Karissa Vincentio,https://www.linkedin.com/in/karissaa/
Muhammad Reza Qorib,http://mrqorib.github.io/
Evan,https://nvblog.site/
Eryawan Presma Yulianrifat,https://www.linkedin.com/in/eryawan-presma-yulianrifat/
Taki Hasan Rafi,https://takihasan.github.io/
Saptarshi Saha,https://github.com/Saptarshi-Saha-1996
Patricia Nicole Monderin,https://www.linkedin.com/in/pemonderin073101/
Hanif Muhammad Zhafran,https://www.linkedin.com/in/hanif-muhammad-zhafran-b50857207/
Manuel Antonio Rufino,https://antonrufino.github.io
Priyaranjan Pattnayak,https://www.linkedin.com/in/priyaranjanpattnayak/
Aye Hninn Khine,https://ayehninnkhine.github.io/
Jiayun Luo.,none
Richardy Lobo' Sapan,https://www.linkedin.com/in/richardylobosapan/
Onno P. Kampman,https://onnokampman.github.io
Alham Fikri Aji,afaji.github.io
Jauza Akbar Krito,https://www.linkedin.com/in/jauzakrito/
Piyalitt Ittichaiwong,none
Fadil Risdian Ansori,https://fadilrisdian.github.io/
Holy Lovenia,https://holylovenia.github.io/
Ruochen Zhang,ruochenzhang.com
Kaung Si Phyo,https://www.phyo.dev
Matthew Theodore Roque,none
Giang Nguyen,none
Vicky Feliren,https://www.linkedin.com/in/feliren/
Mithil Bangera,irasalsabila.github.io
Carlos Rafael Catalan,https://www.linkedin.com/in/clcatalan/
Yanzhi Yu,none
Chengwei Wei,https://amao0o0.github.io/